"통계분류(1)",통계분류(2),1997,1997,1997,1997,1997,1997,1997,1997,1997,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2003,2003,2003,2003,2003,2003,2003,2003,2003,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2008,2008,2008,2008,2008,2008,2008,2008,2008,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2012,2012,2012,2012,2012,2012,2012,2012
"통계분류(1)",통계분류(2),사례수,계,지역고유특성 살려야,홍보를 많이해야,편의시설 늘려야,교통불편 해소되야,주민참여가 많아져야,지나친 상업성 벗어나야 한다,기타,사례수,계,지역고유특성 살려야,홍보를 많이해야,편의시설 늘려야,교통불편 해소되야,주민참여가 많아져야,지나친 상업성 벗어나야 한다,기타,무응답,사례수,계,지역고유특성 살려야,홍보를 많이해야,편의시설 늘려야,교통불편 해소되야,주민참여가 많아져야,지나친 상업성 벗어나야 한다,기타,사례수,계,지역고유특성 살려야,홍보를 많이해야,편의시설 늘려야,교통불편 해소되야,주민참여가 많아져야,지나친 상업성 벗어나야 한다,기타,무응답,사례수,계,지역고유특성 살려야,홍보를 많이해야,편의시설 늘려야,교통불편 해소되야,주민참여가 많아져야,볼거리가 다양해야 한다,지나친 상업성 벗어나야 한다,사례수,계,지역고유특성 살려야,홍보를 많이해야,편의시설 늘려야,교통불편 해소되야,주민참여가 많아져야,지나친 상업성 벗어나야 한다,기타,무응답,사례수,지역고유특성 살려야,홍보를 많이해야,편의시설 늘려야,교통불편 해소되야,주민참여가 많아져야,지나친 상업성 벗어나야 한다,기타
"종사상지위",해당 없음,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1223,28.3,18.8,9.6,8.3,5.9,28.5,0.5
"직업",전문 관리직,50,100,28,14,10,4,6,38,0,48,100,25,12.5,8.3,4.2,2.1,45.8,2.1,0,40,100,25,10,10,12.5,10,30,2.5,40,100,25,12.5,15,12.5,5,30,0,0,72,100,26.4,18.1,6.9,4.2,1.4,0,43.1,110,100,19.1,9.4,12.6,4.8,6.5,44.4,1.8,1.5,-,-,-,-,-,-,-,-
"직업",사무직,103,100,20.4,11.7,9.7,1.9,16.5,37.9,1.9,53,100,20.8,3.8,13.2,7.5,9.4,45.3,0,0,126,100,31.7,11.9,10.3,4.8,4.8,36.5,0,263,100,20.2,22.8,9.9,8,4.9,34.2,0,0,376,100,19.9,14.6,10.6,7.4,3.7,0.3,43.4,362,100,19,12.2,12.3,8.5,7.3,39.8,0.4,0.6,-,-,-,-,-,-,-,-
"직업",서비스 판매직,117,100,19.7,11.1,7.7,6,21.4,34.2,0,95,100,24.2,6.3,12.6,3.2,12.6,40,1.1,0,149,100,20.8,11.4,12.8,9.4,8.1,37.6,0,176,100,18.8,17,11.4,6.3,5.7,40.3,0,0.6,299,100,22.4,12.4,12.7,6.7,3.3,0,42.5,706,100,25.2,11.5,9.5,9.6,5,38.3,0.4,0.6,-,-,-,-,-,-,-,-
"직업",생산직,41,100,22,9.8,2.4,9.8,29.3,26.8,0,58,100,31,17.2,6.9,15.5,3.4,25.9,0,0,96,100,28.1,17.7,8.3,7.3,4.2,34.4,0,175,100,20.6,18.3,7.4,5.1,4.6,42.9,0.6,0.6,279,100,18.6,14.7,10,6.8,4.3,0,45.5,304,100,22.7,17.2,7,7.4,6.6,38.5,0,0.6,-,-,-,-,-,-,-,-
"직업",자영업,112,100,18.8,13.4,9.8,6.3,15.2,36.6,0,96,100,17.7,8.3,24,9.4,9.4,29.2,1,1,46,100,21.7,8.7,8.7,13,17.4,30.4,0,65,100,13.8,16.9,10.8,10.8,6.2,40,0,1.5,93,100,26.9,9.7,10.8,8.6,6.5,0,37.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"직업",주부,101,100,12.9,12.9,17.8,9.9,20.8,24.8,1,137,100,19.7,10.9,10.2,4.4,7.3,45.3,2.2,0,178,100,24.7,11.8,14.6,9,5.1,34.3,0.6,315,100,19.4,18.1,12.7,7.6,4.4,37.5,0,0.3,489,100,17.2,13.3,12.7,8.6,4.3,0,44,534,100,21.9,16.8,10.6,11.4,3.4,35,0,0.9,-,-,-,-,-,-,-,-
"직업",농업 어업,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,101,100,21,15.9,10,11.1,9.4,31.5,1.1,0,-,-,-,-,-,-,-,-
"직업",학생,47,100,31.9,6.4,10.6,2.1,17,31.9,0,103,100,17.5,8.7,13.6,7.8,6.8,42.7,1.9,1,142,100,31.7,14.8,12,8.5,7.7,25.4,0,181,100,17.7,21,12.2,8.8,6.1,33.1,1.1,0,236,100,19.9,15.7,14.4,8.9,2.1,0,39,288,100,22,14.7,15.8,10.3,9.3,26.8,0.4,0.7,-,-,-,-,-,-,-,-
"직업",기타 무직,53,100,20.8,13.2,11.3,5.7,11.3,37.7,0,49,100,26.5,20.4,2,6.1,10.2,32.7,0,2,30,100,13.3,6.7,10,20,10,40,0,75,100,26.7,13.3,14.7,4,5.3,34.7,0,1.3,103,100,16.5,14.6,13.6,8.7,5.8,1,39.8,132,100,20.7,16.6,17.1,11.5,4.9,27.7,0,1.6,-,-,-,-,-,-,-,-
