"통계분류(1)",통계분류(2),2014,2014,2014,2014,2014,2014,2014,2014,2014,2016,2016,2016,2016,2016,2016,2016,2016,2016,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021
"통계분류(1)",통계분류(2),표본수,매우불만족,불만족,다소불만족,보통,다소만족,만족,매우만족,평균,표본수,매우불만족,불만족,다소불만족,보통,다소만족,만족,매우만족,평균,표본수,매우불만족,불만족,다소불만족,보통,다소만족,만족,매우만족,평균,표본수,매우불만족,불만족,다소불만족,보통,다소만족,만족,매우만족,평균,표본수,불만족,다소불만족,보통,다소만족,만족,매우만족,평균,표본수,매우불만족,불만족,다소불만족,보통,다소만족,만족,매우만족,평균
"가구소득별",100~200만원,599,0.9,0.6,2.3,18.8,32.1,40.6,4.7,5.21,644,-,0.3,1.5,16.1,37.1,39.9,5.1,5.3,699,-,0.7,1.6,15.5,40.1,35.6,6.6,5.28,576,0.1,1,2,17,36.4,34.6,8.8,5.28,319,-,1.9,14.1,44.6,33.5,6,5.28,49,-,-,0.5,29.2,34.6,20,15.6,5.21
"가구소득별",200~300만원,897,0.3,1.4,4.2,26,34.7,29.3,4.1,4.98,1025,0.1,0.5,2,16.9,38.8,36.9,4.9,5.24,1113,0,0.2,2.3,21.1,40.6,30.7,5.1,5.15,965,0.1,0.5,1.3,17.3,39.6,33.3,7.9,5.27,507,0.3,2.7,16.2,44.3,31.5,4.9,5.19,79,0.4,1.4,3,24.4,33.4,28.1,9.3,5.1
"가구소득별",300~400만원,1474,0.4,1.7,2.3,17.8,36.3,36.9,4.6,5.17,1546,0.1,0.3,2,14.5,44,34.3,4.9,5.25,1378,0,0.2,2.8,16.4,42.4,31.9,6.3,5.22,1251,0,0.2,2.2,16.7,41,33.6,6.4,5.25,729,0.2,2,16.1,45.7,30.9,5.1,5.2,115,-,0.5,1.5,13.1,30.6,28.2,26.1,5.63
"가구소득별",400~500만원,1180,0.4,1.6,3.2,20.1,34,37.1,3.7,5.12,1316,0.1,0.6,2.4,12.4,43.4,35.6,5.4,5.27,1388,0.1,0.3,1.2,16.9,38.1,36.2,7.2,5.3,1038,0,0.5,1.8,16.4,40.5,34.5,6.2,5.25,662,0.3,1.3,17.6,46,32.4,2.4,5.16,93,1.5,-,-,26.5,33.1,25.5,13.5,5.2
"가구소득별",500~600만원,645,0.5,1.1,4,25.9,28.5,37.1,3,5.04,860,0.2,0.5,1.7,11.8,43.1,37.7,5.1,5.3,817,-,0.1,2.5,20.5,38.9,32.8,5.2,5.18,830,0,0.7,1.7,14.4,33.6,43.2,6.4,5.36,653,0.4,2.3,13.6,43.5,34.9,5.2,5.26,77,-,-,-,11.6,48.1,27,13.3,5.42
"가구소득별",600만원 이상,375,0.2,1.9,3.1,28,25,37.4,4.4,5.06,508,0,1.1,2.3,14.6,47.3,31.9,2.8,5.15,664,0,0.4,2.6,20.1,36.4,31.8,8.6,5.22,784,0,0.7,2.2,18.7,33.2,38.9,6.4,5.27,268,0.8,3.8,16.7,42.9,31.7,4.1,5.13,101,-,1.4,2.2,26.1,34.1,29.5,6.7,5.08
"가구소득별",무응답,1,-,-,-,100,-,-,-,4,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"지역규모별",대도시,2323,0.4,1.6,2.7,20.8,35.7,34.8,4,5.1,2424,0,0.3,1.7,11.5,48.3,35.4,2.8,5.25,2734,0,0.1,1.3,14.7,36.9,39.9,7,5.36,2462,0,0.3,1.8,13.3,41.6,36.6,6.4,5.31,1406,0.2,1.3,12.6,47,33.9,5,5.28,224,0.2,1.1,1.2,16.4,47,21.7,12.5,5.24
"지역규모별",중소도시,2038,0.5,1.2,3.4,24.4,31.7,34.3,4.5,5.07,2275,0.1,0.5,1.9,15.2,41.1,35.3,5.9,5.26,2098,0,0.4,3.8,23.3,40.3,24.4,7.7,5.08,1890,0,0.7,2.3,18.2,35,36.6,7.2,5.26,1254,0.4,2.3,18.7,43.1,31.4,4.2,5.15,205,0.4,-,1.2,24.8,22.4,29.9,21.3,5.44
"지역규모별",읍면지역,1244,0.3,1.1,3.1,17.6,29.8,43.4,4.7,5.24,1616,0.2,0.9,2.8,16.1,35.6,37.7,6.8,5.26,1661,0.1,0.3,1.3,16.4,43.2,35.5,3.2,5.21,1565,0.1,0.6,1.3,19.5,33.5,36.3,8.7,5.3,709,0.6,3.5,17,42,32.7,4.2,5.15,141,0.8,0.5,0.7,23.8,35.6,30.6,8,5.17
"권역별",수도권,1538,0.5,1.4,3.9,22.7,36.5,32.8,2.2,5.01,1801,0,0.4,1.8,11.4,47.5,34.4,4.5,5.27,1920,0,0.1,3.2,19.9,35.9,32.9,8,5.22,1651,0,0.3,1.8,13.1,39.8,38.9,6,5.33,1496,0.3,1.6,13.3,52.3,29.5,3,5.18,164,0.2,-,1.4,23,42.4,17.3,15.8,5.22
"권역별",강원/제주권,474,1.2,3.3,8,44,25.6,12.8,5.1,4.48,503,0.7,2.4,4.3,34.8,34.9,16,6.9,4.76,519,0.2,1.2,4.1,35.9,28.5,26.8,3.3,4.85,433,0.2,0.5,2.3,28.9,33.5,32.5,2.3,5.01,124,-,-,18.7,53.2,25.2,2.8,5.12,71,4.1,1.3,-,28.2,35.7,27.3,3.3,4.85
"권역별",충청/세종권,1076,0.5,0.5,1.6,15,40.4,39.6,2.4,5.23,1315,-,0.4,3.6,14.6,39.5,35.2,6.7,5.25,1370,0,0.2,1,15.4,45.5,34.3,3.6,5.23,1082,0.1,1,1.6,19.3,37.4,32.6,8,5.23,427,0.2,3.9,21.2,39.2,31.6,4,5.1,103,-,-,1.9,19.2,18.3,41.2,19.4,5.57
"권역별",호남권,722,0.2,0.2,1.9,27.4,33.1,27.6,9.6,5.14,944,0.2,0.4,1.5,15,28.9,49.1,5,5.39,1050,0.1,0.6,0.8,16,38.6,32.3,11.7,5.36,1027,0.1,0.2,1,14.6,32.6,39.6,11.9,5.46,480,-,1.2,11,36.3,42.1,9.3,5.47,111,-,-,1.4,11,14.2,46.6,26.7,5.86
"권역별",대경권,658,0.5,4,4.1,25.2,25.3,36.7,4.2,4.98,552,0.2,1.1,1.2,20.1,48,25,4.5,5.07,635,-,0.8,2,18.5,38.9,37.8,1.9,5.17,1064,0,1,2,21.6,39.3,29.7,6.4,5.14,570,0.9,4,22.5,36.9,31.3,4.4,5.07,99,-,1.1,-,21.6,41.7,29.1,6.4,5.17
"권역별",동남권,1137,0.1,0.5,0.9,12,26.3,52.6,7.6,5.52,1200,-,0.3,1.3,11,40.8,42.6,4.1,5.36,999,-,-,0.7,10,50.6,35,3.8,5.31,660,0,0.6,2.9,15.4,31.3,40.3,9.4,5.36,272,0.3,1,15.8,33.2,43.1,6.7,5.38,22,-,7.8,-,26.3,32.2,23.2,10.5,4.95
"17개 시도별",서울,585,0.5,2.2,4,22.7,37.4,30.6,2.7,4.97,575,-,0.4,2,7.6,52.6,34.8,2.5,5.27,740,-,0.1,2.1,19.8,30.3,40.1,7.6,5.31,658,0,0.2,2,13.9,44.7,34.2,5.1,5.26,647,0.2,0.8,12.5,56.2,27,3.2,5.19,73,-,-,1.4,18.7,66.2,11.1,2.6,4.95
"17개 시도별",부산,430,0.3,0.8,1,8,32,51.6,6.3,5.51,401,-,0.1,0.3,7.9,43.4,46.1,2.1,5.42,407,-,-,0.9,9.6,46.6,38.5,4.3,5.36,409,0,0.7,3.1,13,32.8,42.5,8.1,5.37,222,0.4,1.2,15,32.8,45.9,4.7,5.37,15,-,10.1,-,18.8,36.9,20.6,13.6,4.99
"17개 시도별",대구,294,0.4,4.4,3.2,27.3,32.2,29.7,2.8,4.87,206,-,-,-,13.2,47.9,33.3,5.6,5.31,270,-,-,1.1,15.4,37.9,43.9,1.7,5.3,325,0,0,2,14.3,36.9,41,5.9,5.35,118,0.3,2.5,21.7,36.7,37.9,0.9,5.12,23,-,5.2,-,11.9,56,22.7,4.3,5.04
